id;region;fed_okr;tipnp;Q1;Q2;Q3;Q4;Q5;Q6;Q7;AGE;EDU;GENDER;PROF;INCOME
467;74;6;2;0;2;3;2;2;2;7;35;3;2;6;7
468;22;7;7;0;3;4;4;4;97;5;43;3;2;6;5
469;78;2;1;0;2;4;4;4;97;2;45;3;1;6;6
470;2;5;7;0;2;4;4;4;97;3;47;2;1;6;6
471;34;3;2;3;2;2;2;3;97;3;22;4;1;6;6
472;86;6;4;3;2;2;2;3;97;3;35;3;1;6;6
473;24;7;6;3;2;1;2;2;97;7;35;5;1;6;8
474;52;5;2;0;1;3;2;2;2;1;18;2;2;7;5
475;25;8;7;0;0;4;2;4;97;5;22;2;2;7;6
476;52;5;2;0;0;1;4;2;97;5;29;5;2;7;6
477;42;7;3;2;0;2;2;2;3;3;29;5;2;7;7
478;58;5;6;2;0;2;4;2;5;4;35;3;2;7;4
479;16;5;3;2;0;1;3;3;4;2;38;2;2;7;7
480;26;5;6;3;1;3;1;1;6;5;19;3;2;7;6
481;26;5;4;3;0;3;1;1;6;5;27;5;2;7;6
482;61;3;4;3;0;3;2;2;7;7;29;5;2;7;6
483;16;5;2;3;0;1;2;4;7;97;54;3;2;7;8
484;78;2;1;3;1;4;1;1;97;4;31;5;2;7;8
485;61;3;2;3;0;4;1;1;97;4;37;3;2;7;5
486;50;1;5;3;0;3;3;3;97;2;43;5;2;7;7
487;38;7;4;0;3;4;2;2;3;3;49;3;2;7;7
488;54;7;2;0;2;2;2;2;6;4;28;5;2;7;8
489;72;6;6;1;2;4;4;4;6;97;47;5;2;7;9
490;66;6;2;0;3;2;2;2;97;4;27;5;2;7;5
491;38;7;3;0;3;4;1;4;97;7;29;5;2;7;8
492;66;6;2;2;2;2;2;2;6;5;24;3;2;7;8
493;54;7;2;2;2;1;3;3;7;5;32;5;2;7;8
494;64;5;3;3;2;3;2;2;97;6;24;2;2;7;6
495;64;5;3;3;2;3;4;3;97;5;30;2;2;7;6
496;66;6;5;3;0;1;4;4;7;7;25;3;1;99;7
497;25;8;7;3;0;4;4;4;97;2;35;2;2;99;5
498;74;6;3;0;2;4;4;4;97;3;49;3;1;99;6
499;74;6;3;2;2;1;2;2;5;5;33;2;1;99;8
500;78;2;1;3;3;2;2;4;97;3;54;3;2;99;7
